total,species_a,species_b,n,m,potential_energy,potential_energy_per_atom,formation_energy_per_atom,strain_tension_per_a_atom,strain_compression_per_b_atom,interface_energy
14,Si,Ge,10,4,-608.8594913136448,-5.436245458157543,0.004237483151766038,0.01764071730027226,0.01376261851970284,-1.3770630636546457
14,Si,Ge,11,3,-615.331393111646,-5.494030295639696,0.005102175662178838,0.01764071730027245,0.013762618519703432,-1.3112422927331409
14,Si,Ge,12,2,-621.7844220048999,-5.551646625043749,0.006135376250692508,0.01764071730027202,0.01376261851970284,-1.226548617064168
14,Si,Ge,13,1,-628.22275108313,-5.609131706099375,0.0072998251876323595,0.017640717300272748,0.01376261851970284,-1.1271551263714628
15,Si,Ge,1,14,-588.5668383360834,-4.904723652800695,0.004003549909344884,0.017640717300271724,0.013762618519703349,-1.2021130234866177
15,Si,Ge,2,13,-595.2080413177717,-4.960067010981431,0.0033997530550043584,0.017640717300272613,0.013762618519703115,-1.3055934362521384
15,Si,Ge,3,12,-601.8309892916483,-5.015258244097069,0.002948081265761952,0.017640717300273206,0.013762618519703432,-1.3908188412059417
15,Si,Ge,4,11,-608.4404178322059,-5.070336815268382,0.002609071420843634,0.017640717300271724,0.013762618519703163,-1.4625248128409112
15,Si,Ge,5,10,-615.0285447737194,-5.125237873114329,0.002447574901292645,0.017640717300272966,0.013762618519704261,-1.5129291854317444
15,Si,Ge,6,9,-621.6002475222651,-5.180002062685543,0.0024229466564738306,0.01764071730027202,0.013762618519704025,-1.5469093650547165
15,Si,Ge,7,8,-628.1533753510224,-5.23461146125852,0.0025531094098918553,0.01764071730027236,0.013762618519703729,-1.5623146248891544
15,Si,Ge,8,7,-634.6825690059194,-5.289021408382662,0.0028827236121453364,0.017640717300271724,0.013762618519703349,-1.553785710863508
15,Si,Ge,9,6,-641.2076560883288,-5.343397134069407,0.0032465592517953706,0.01764071730027202,0.013762618519703432,-1.5411502243500763
15,Si,Ge,10,5,-647.706287771019,-5.3975523980918245,0.0038308565557727547,0.01764071730027226,0.013762618519704261,-1.5020593381174194
15,Si,Ge,11,4,-654.18939678464,-5.451578306538667,0.004544509435325968,0.01764071730027245,0.01376261851970284,-1.4474457828156346
15,Si,Ge,12,3,-660.6607123775375,-5.505505936479479,0.005356440820908996,0.01764071730027202,0.013762618519703432,-1.3810388067903432
15,Si,Ge,13,2,-667.1103699284622,-5.559253082737185,0.006348855889598089,0.017640717300272748,0.01376261851970284,-1.2929737887922101
15,Si,Ge,14,1,-673.5477804576027,-5.6128981704800225,0.0074433294731566235,0.01764071730027033,0.01376261851970284,-1.1926617490096305
16,Si,Ge,1,15,-627.3507597104775,-4.901177810238106,0.004128169889034972,0.017640717300271724,0.013762618519702603,-1.2642342149695196
16,Si,Ge,2,14,-633.9936876871582,-4.953075685055923,0.0035486338147121543,0.017640717300272613,0.013762618519703349,-1.3694396227269863
16,Si,Ge,3,13,-640.6245647802018,-5.004879412345327,0.0030632452688053036,0.017640717300273206,0.013762618519703115,-1.4625941468477777
16,Si,Ge,4,12,-647.2327721365881,-5.0565060323170945,0.002754964040532659,0.017640717300271724,0.013762618519703432,-1.5330789343114475
16,Si,Ge,5,11,-653.8285397273978,-5.108035466620295,0.002543868480826994,0.017640717300272966,0.013762618519703163,-1.5911239561983166
